x,y
450,0
454,0
458,0.005820244
462,0.005496625
466,0.005083402
470,0.004582621
474,0.003991796
478,0.003175245
482,0.002084605
486,0.001222552
490,0.000497024
494,0.000332454
498,0.000742415
502,0.001093876
506,0.001856697
510,0.003132858
514,0.004251947
518,0.004938565
522,0.00512977
526,0.005306354
530,0.005379249
534,0.005426768
538,0.005501181
542,0.00577983
546,0.006286864
550,0.006595913
554,0.006442019
558,0.006437985
562,0.006659989
566,0.007368138
570,0.011108087
574,0.015237526
578,0.020074125
582,0.02545922
586,0.030983466
590,0.039010587
594,0.045396312
598,0.055848589
602,0.071812274
606,0.090366446
610,0.10788977
614,0.113242097
618,0.113424206
622,0.101114477
626,0.114894959
630,0.13455902
634,0.155100552
638,0.15787546
642,0.147780785
646,0.131630465
650,0.105336752
654,0.063317539
658,0.017482489
662,0.001063082
666,0.010467101
670,0.022675257
674,0.03592201
678,0.057407975
682,0.082425986
686,0.116220372
690,0.152564873
694,0.18571395
698,0.205704997
702,0.212398549
706,0.202482197
710,0.177109214
714,0.138903082
718,0.095636128
722,0.059826964
726,0.033174886
730,0.014517227
734,0.005845087
738,0.00206067
742,0.003549355
746,0.002755087
750,0.001478262
754,0.000477081
758,0
762,0
766,0
770,0
774,4.43E-05
778,0.000422901
782,0.000862657
786,0.001319125
790,0.00162314
794,0.002000302
798,0.002657251
802,0.003212661
806,0.004258393
810,0.006080162
814,0.008136907
818,0.010889571
822,0.013787568
826,0.017194453
830,0.0207398
834,0.024200646
838,0.027753508
842,0.030914038
846,0.035024357
850,0.039744158
854,0.044630688
858,0.050803232
862,0.057965192
866,0.066267715
870,0.075103222
874,0.083555356
878,0.092468865
882,0.101382309
886,0.111456919
890,0.122356832
894,0.133216209
898,0.14445729
902,0.155716756
906,0.167262352
910,0.180015676
914,0.19201135
918,0.202316073
922,0.213205136
926,0.220708904
930,0.219536837
934,0.210449338
938,0.194426743
942,0.172613484
946,0.146030351
950,0.125438119
954,0.095427473
958,0.066724224
962,0.041841981
966,0.022644065
970,0.009840109
974,0.00153575
978,0
982,0
986,5.99E-06
990,0.001350555
994,0.003488592
998,0.00558428
1002,0.007355379
1006,0.009160913
1010,0.01015433
1014,0.011789341
1018,0.013664187
1022,0.015733968
1026,0.018285856
1030,0.022046957
1034,0.027789961
1038,0.034129756
1042,0.039313889
1046,0.04718244
1050,0.057381779
1054,0.068811031
1058,0.083408404
1062,0.104017215
1066,0.135216535
1070,0.176670609
1074,0.222050015
1078,0.280536407
1082,0.301054801
1086,0.314842424
1090,0.32705706
1094,0.306829991
1098,0.270916088
1102,0.245914512
1106,0.252766197
1110,0.285466671
1114,0.319138341
1118,0.326006573
1122,0.288822205
1126,0.256067649
1130,0.196921808
1134,0.100846748
1138,0.026612861
1142,0
1146,0
1150,0
1154,0.001971628
1158,0.016573707
1162,0.031563798
1166,0.049007093
1170,0.073365356
1174,0.106879816
