x,y
450,0
454,0
458,0
462,0
466,0
470,0
474,0
478,0
482,0
486,0
490,0
494,0
498,0
502,0
506,0
510,0
514,0
518,0
522,0
526,0
530,0
534,0
538,0
542,0
546,0
550,0
554,0
558,0
562,0
566,0
570,0
574,0
578,0
582,0
586,0
590,0
594,0
598,0
602,0
606,0
610,0
614,0
618,0
622,0
626,0.056178227
630,0.054880889
634,0.053155504
638,0.051435148
642,0.049719819
646,0.049222278
650,0.047694255
654,0.042482574
658,0.034964264
662,0.028158968
666,0.019972191
670,0.012749604
674,0.009643461
678,0.008723986
682,0.009028569
686,0.009908259
690,0.011656741
694,0.012138981
698,0.011495158
702,0.009606205
706,0.007184019
710,0.005545167
714,0.003935723
718,0.002858859
722,0.002007328
726,0.001037065
730,0.000168608
734,0
738,5.28E-05
742,0.000379675
746,0.001214619
750,0.006696427
754,0.013918574
758,0.017829756
762,0.017433126
766,0.013310793
770,0.006668023
774,0
778,0
782,0.001210314
786,0.001813429
790,0.001242064
794,0
798,0.001688869
802,0.023240229
806,0.05098927
810,0.090695984
814,0.121503823
818,0.122431787
822,0.094299919
826,0.050598975
830,0.029119377
834,0.031354196
838,0.04770623
842,0.056192732
846,0.047200598
850,0.027252439
854,0.006791956
858,0.007497883
862,0.02064335
866,0.023101781
870,0.020089283
874,0.010667575
878,0.009022799
882,0.043388098
886,0.09362479
890,0.177933814
894,0.279201629
898,0.333373166
902,0.324932549
906,0.295297336
910,0.297709387
914,0.301190825
918,0.318964631
922,0.31811781
926,0.252803758
930,0.149642643
934,0.059334195
938,0.018078909
942,0.001850731
946,0
950,0.000345983
954,0.004950584
958,0.010526462
962,0.01611723
966,0.018295515
970,0.015554373
974,0.008980791
978,0.001848987
982,0
986,0
990,0
994,0.004339225
998,0.078242522
1002,0.206706502
1006,0.323137506
1010,0.388745121
1014,0.386227483
1018,0.308855789
1022,0.21381127
1026,0.180511158
1030,0.194630883
1034,0.197712097
1038,0.183476696
1042,0.150227733
1046,0.100382164
1050,0.056101852
1054,0.036160416
1058,0.025467675
1062,0.015453864
1066,0.010858928
1070,0.008518489
1074,0.004975433
1078,0.000491581
1082,3.08E-05
1086,0.007949288
1090,0.01656108
1094,0.021697834
1098,0.021057542
1102,0.015743823
1106,0.015023895
1110,0.053853702
1114,0.142851373
1118,0.222053104
1122,0.26128985
1126,0.25660536
1130,0.211604185
1134,0.140503545
1138,0.101580462
1142,0.172074346
1146,0.273083038
1150,0.358449445
1154,0.413975734
1158,0.423822726
1162,0.440332313
1166,0.522668559
1170,0.701143289
1174,0.888464365
1178,1.027886596
1182,1.08767609
1186,1.072465455
1190,1.038672493
1194,0.976430081
1198,0.861893756
1202,0.696024321
1206,0.510263695
1210,0.335888251
1214,0.211656102
1218,0.143509935
1222,0.101804697
1226,0.073159308
1230,0.046500404
1234,0.028719096
1238,0.022663538
1242,0.033821096
1246,0.054778803
