x,y
450,0.013041562
454,0.010439538
458,0.007590622
462,0.005249556
466,0.004027152
470,0.003279211
474,0.002081137
478,0.000976615
482,0.000186688
486,0
490,0
494,0.000150053
498,0.000445691
502,0.000927364
506,0.001563152
510,0.002334764
514,0.003205026
518,0.004162783
522,0.005224345
526,0.006336521
530,0.00750731
534,0.008531428
538,0.009267591
542,0.009613844
546,0.009426203
550,0.008727663
554,0.007583103
558,0.006083083
562,0.004361326
566,0.00275584
570,0.001540383
574,0.00073097
578,0.000444121
582,0.000631314
586,0.000862997
590,0.001582507
594,0.003732188
598,0.006295641
602,0.01198738
606,0.023395107
610,0.043569369
614,0.071726274
618,0.095477865
622,0.114856391
626,0.167981388
630,0.22742407
634,0.256007619
638,0.268296386
642,0.259714842
646,0.22371423
650,0.197899895
654,0.20713867
658,0.197502262
662,0.158621268
666,0.119555224
670,0.078635467
674,0.041251639
678,0.026427765
682,0.014725984
686,9.51E-05
690,0
694,0.006877831
698,0.027378474
702,0.032564527
706,0.033006502
710,0.126019859
714,0.173799943
718,0.189786117
722,0.186877639
726,0.156468047
730,0.08440981
734,0.02908121
738,0.0526721
742,0.030467887
746,0.011889936
750,0.005086285
754,0.003993505
758,0.002971546
762,0.002651908
766,0.0024951
770,0.001774113
774,0.000682194
778,0
782,0
786,0
790,0.001527193
794,0.004612053
798,0.0078811
802,0.010767891
806,0.012831988
810,0.01380689
814,0.013681993
818,0.012475434
822,0.010348826
826,0.007466978
830,0.004296185
834,0.001557931
838,0
842,0
846,0.000610377
850,0.003641482
854,0.012310979
858,0.028063217
862,0.044743025
866,0.067149396
870,0.087343168
874,0.098106512
878,0.098602102
882,0.087858423
886,0.070290152
890,0.05063422
894,0.044495325
898,0.047054035
902,0.038279971
906,0.085038013
910,0.13190333
914,0.152102724
918,0.150488634
922,0.129913525
926,0.090286029
930,0.036312092
934,0.034948092
938,0.028050767
942,0.015202168
946,0.00594446
950,0.000707469
954,0
958,0
962,0
966,0
970,0.000587305
974,0.001913989
978,0.004132496
982,0.00715114
986,0.01027975
990,0.012412954
994,0.016252409
998,0.020787242
1002,0.022444175
1006,0.02220264
1010,0.021455321
1014,0.02237084
1018,0.026641632
1022,0.033639567
1026,0.048257833
1030,0.058784239
1034,0.063506904
1038,0.064997833
1042,0.063075657
1046,0.053635675
1050,0.037496514
1054,0.025806567
1058,0.013188625
1062,0.003820682
1066,0.001075356
1070,0.001859796
1074,0.001261623
1078,0.000467819
1082,0
1086,0
1090,0
1094,0.00062293
1098,0.001646888
1102,0.003029309
1106,0.005165971
1110,0.009362599
1114,0.016871938
1118,0.027494516
1122,0.032771727
1126,0.033874657
1130,0.074826364
1134,0.100015462
1138,0.111607207
1142,0.111113461
1146,0.096196507
1150,0.062649467
1154,0.029694828
1158,0.035331925
1162,0.023232951
1166,0.012923706
1170,0.006127653
1174,0.001992981
1178,2.15E-06
1182,0
1186,0
1190,0.000855618
1194,0.001769511
1198,0.002605138
1202,0.003256186
1206,0.003780014
1210,0.004754801
1214,0.006599096
1218,0.009302609
1222,0.012942313
1226,0.016614352
1230,0.019053362
1234,0.020189261
1238,0.020796489
1242,0.021441063
1246,0.022809426
1250,0.025239369
1254,0.026077019
1258,0.030414064
1262,0.033208555
1266,0.033476031
1270,0.031801551
1274,0.027918753
1278,0.021300795
1282,0.012351907
1286,0.007397154
1290,0.002176464
1294,0
1298,0
1302,0
1306,0.002479511
1310,0.006270076
1314,0.010828504
1318,0.016651823
1322,0.023998409
1326,0.031077543
1330,0.037662762
1334,0.041440841
1338,0.04153687
1342,0.043169071
1346,0.048617142
1350,0.057525616
1354,0.067292649
1358,0.075765224
1362,0.078692268
1366,0.075467088
1370,0.070339015
1374,0.063498986
1378,0.055099823
1382,0.045946073
1386,0.036632911
1390,0.027362344
1394,0.018545313
1398,0.010691462
1402,0.004395629
1406,0
1410,0
1414,0
1418,0.006939414
1422,0.026631147
1426,0.059466515
1430,0.095796956
1434,0.133821298
1438,0.166847331
1442,0.197124798
1446,0.238489205
1450,0.251016546
1454,0.240927558
1458,0.209995377
1462,0.16988191
1466,0.121723629
1470,0.082534651
1474,0.067401431
1478,0.039272844
1482,0.017090642
1486,0.004992252
1490,0.000998652
1494,0
1498,0.000192951
1502,0.000557432
1506,0.001739005
1510,0.003676137
1514,0.005215938
1518,0.006023614
1522,0.006666609
1526,0.006622299
1530,0.006852333
1534,0.007366269
1538,0.00706611
1542,0.005614289
1546,0.003798505
1550,0.002458741
1554,0.001355534
1558,0.000963443
1562,0.000785916
1566,0.000555526
1570,0
1574,0
1578,0.001321312
1582,0.003290435
1586,0.005846653
1590,0.00910744
1594,0.012314582
1598,0.013892276
1602,0.014393034
1606,0.014558583
1610,0.013178039
1614,0.010749287
1618,0.007833138
1622,0.005045625
1626,0.003519281
1630,0.004487648
1634,0.010524102
1638,0.019728289
1642,0.033576289
1646,0.046569141
1650,0.054278232
1654,0.058837435
1658,0.060168245
1662,0.055840853
1666,0.046520406
1670,0.035959588
1674,0.025587517
1678,0.01495503
1682,0.009651067
1686,0.010479453
1690,0.011314243
1694,0.010343071
1698,0.007916076
1702,0.006554803
1706,0.004858348
1710,0.003585886
1714,0.003943718
1718,0.004446688
1722,0.005293334
1726,0.006104811
1730,0.006731123
1734,0.007847658
1738,0.008128168
1742,0.007489397
1746,0.006266791
1750,0.005681936
1754,0.00518208
1758,0.004347674
1762,0.003627244
1766,0.003067012
1770,0.002738279
1774,0.002707152
1778,0.003156755
1782,0.003546364
1786,0.003450501
1790,0.003191125
1794,0.002675318
1798,0.002060149
1802,0.001656578
1806,0.001731277
1810,0.00180868
1814,0.001881508
1818,0.002022856
1822,0.001923932
1826,0.001368949
1830,0.000648926
1834,1.09E-05
1838,0
1842,0
1846,0.000312741
1850,0.001207026
1854,0.002155175
1858,0.00335962
1862,0.004829925
1866,0.006455405
1870,0.008161478
1874,0.009923239
1878,0.011418661
1882,0.012525547
1886,0.013336559
1890,0.013837662
1894,0.013330182
1898,0.01165954
1902,0.009411079
1906,0.007060691
1910,0.005162165
1914,0.004220903
1918,0.004230773
1922,0.00417747
1926,0.003743647
1930,0.003116829
1934,0.002404199
1938,0.001714885
1942,0.001231491
1946,0.001113076
1950,0.001153188
1954,0.001378862
1958,0.001751674
1962,0.002178258
1966,0.002536317
1970,0.002783711
1974,0.002946024
1978,0.003044263
1982,0.003024606
1986,0.00271224
1990,0.002108042
1994,0.001297982
1998,0.000506682
2002,0
2006,0
2010,0
2014,0.000130549
2018,0.000381859
2022,0.000600341
2026,0.000817909
2030,0.00103264
2034,0.001231086
2038,0.001402428
2042,0.001535158
2046,0.001620734
2050,0.001666841
2054,0.001676109
2058,0.001670848
2062,0.001653743
2066,0.001631604
2070,0.001600956
2074,0.001594587
2078,0.001645531
2082,0.001778296
2086,0.001993995
2090,0.002254872
2094,0.002547095
2098,0.002838459
2102,0.003101541
2106,0.003436984
2110,0.003610228
2114,0.00325124
2118,0.00245057
2122,0.001472987
2126,0.000559939
2130,0
2134,0
2138,0
2142,0
2146,0
2150,0
2154,0
2158,0
2162,0
2166,1.47E-05
2170,5.84E-06
2174,3.30E-05
2178,0.000148472
2182,0.000415424
2186,0.000823596
2190,0.001341465
2194,0.001869711
2198,0.002345956
2202,0.002774218
2206,0.00302443
2210,0.00307248
2214,0.002884439
2218,0.002486971
2222,0.001912685
2226,0.001330269
2230,0.000826904
2234,0.000391511
2238,9.28E-05
2242,0
2246,0
2250,1.64E-05
2254,0.000137607
2258,0.000249125
2262,0.000371868
2266,0.000575417
2270,0.000919153
2274,0.001422202
2278,0.001928846
2282,0.00230719
2286,0.002455732
2290,0.002396746
2294,0.002193603
2298,0.001960437
2302,0.001767741
2306,0.001588117
2310,0.001392651
2314,0.001204811
2318,0.001030101
2322,0.000864081
2326,0.000677848
2330,0.000490083
2334,0.000351278
2338,0.000321682
2342,0.000508193
2346,0.000944015
2350,0.001605638
2354,0.002443853
2358,0.003368423
2362,0.004278944
2366,0.005112095
2370,0.005816232
2374,0.006355083
2378,0.006692924
2382,0.006854236
2386,0.006863921
2390,0.006810181
2394,0.006859074
2398,0.006929066
2402,0.006856265
2406,0.006417383
2410,0.005503174
2414,0.004128794
2418,0.002581396
2422,0.001296882
2426,0.000428074
2430,0
2434,0
2438,0
2442,0.000140472
2446,0.000361693
2450,0.000624503
2454,0.00094842
2458,0.001393436
2462,0.002013603
2466,0.002836506
2470,0.003928181
2474,0.005051002
2478,0.005936139
2482,0.006421486
2486,0.006473172
2490,0.00613075
2494,0.005585602
2498,0.005063643
2502,0.004552011
2506,0.004081855
2510,0.003641363
2514,0.003195991
2518,0.002749997
2522,0.002285095
2526,0.001773221
2530,0.00124532
2534,0.000736158
2538,0.000187632
2542,0
2546,0
2550,0.000144055
2554,0.001356645
2558,0.003059294
2562,0.004942215
2566,0.006513587
2570,0.007610998
2574,0.008355099
2578,0.008663413
2582,0.008188041
2586,0.006994458
2590,0.005489765
2594,0.004022851
2598,0.002957572
2602,0.002437434
2606,0.002375507
2610,0.002494197
2614,0.002750952
2618,0.003272138
2622,0.003913863
2626,0.004602455
2630,0.005452899
2634,0.006619584
2638,0.008269094
2642,0.010996257
2646,0.015530209
2650,0.022179557
2654,0.029590189
2658,0.036024352
2662,0.040137481
2666,0.041437944
2670,0.040097425
2674,0.035526449
2678,0.029230806
2682,0.022111121
2686,0.015235402
2690,0.009913801
2694,0.007026599
2698,0.00601492
2702,0.005009272
2706,0.004068318
2710,0.003204366
2714,0.002392948
2718,0.001704304
2722,0.001114192
2726,0.000610929
2730,0.000213285
2734,0
2738,0
2742,0
2746,0.000605597
2750,0.001661878
2754,0.003128822
2758,0.005023993
2762,0.007218737
2766,0.009945315
2770,0.013166083
2774,0.016767877
2778,0.0203348
2782,0.02343639
2786,0.025621833
2790,0.026591636
2794,0.026215315
2798,0.024447815
2802,0.021717134
2806,0.018545482
2810,0.013110093
2814,0.008343942
2818,0.013150155
2822,0.034047119
2826,0.076146024
2830,0.147599705
2834,0.23820531
2838,0.313584449
2842,0.391284388
2846,0.466677333
2850,0.519918533
2854,0.528638169
2858,0.525623643
2862,0.479010803
2866,0.388142269
2870,0.29599173
2874,0.192024481
