lambda,PC1.csv,PC2.csv,PC3.csv,PC4.csv
400,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
404,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
408,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
412,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
416,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
420,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
424,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
428,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
432,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
436,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
440,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
444,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
448,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
452,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
456,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
460,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
464,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
468,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
472,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
476,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
480,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
484,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
488,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
492,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
496,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
500,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
504,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
508,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
512,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
516,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
520,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
524,0.03868455204656277,0.036200750599368774,0.049824225265472366,0.08352764012083456
